label,centroid
0,"[-1.48431935 -1.05990465  0.22620412  0.85365255 -0.29349895  0.40290249
  0.12376742  0.24688345  0.70886081  0.04870592  0.12561421  0.4213855
 -0.10998579 -0.1820163   0.02897639 -0.29930249 -0.46776164 -0.39005495
 -0.39803824 -0.40758223  0.51050824  0.55653699  0.58788816]"
1,"[ 0.24064415  1.53831019 -1.20947509 -1.77433088 -1.16332641 -1.18082006
 -0.99166538 -0.99912447 -2.54753578 -1.00717035 -0.80459556 -0.80522237
 -0.62217449 -1.61305158 -0.73312822 -0.7724533  -0.84702054 -0.38813786
 -0.39677898 -0.40716959 -1.95883224 -1.79682575 -1.70100378]"
2,"[ 0.43670799  0.90966067 -0.59156152 -0.39328682 -0.46568569  0.23165352
 -0.14467334 -0.56298698  0.5054851  -0.01362278 -0.1424915   0.11168976
 -0.22993143 -0.1820163   0.11748992 -0.36411175 -0.49736714 -0.39005495
 -0.39803824 -0.40758223  0.51050824  0.55653699  0.58788816]"
3,"[ 0.59081706 -0.56779813 -0.55462031 -1.2679627   0.89866629 -0.6059762
  0.29747647 -0.33024015 -1.22741741  0.09578092  0.27465949  0.57675317
  0.88925485 -0.1820163  -0.5636956  -0.09544253  0.61558644 -0.39005495
  2.51232137 -0.40528695  0.51050824  0.555593   -1.70100378]"
4,"[ 0.4721195   0.59773172 -0.24752197  0.46243243 -0.47509512  1.52952284
  2.63435398  1.4156152   0.67722732 -1.00392153 -0.79942038 -0.79783324
 -0.61868824 -0.17760406 -0.56006927  2.26107988  0.56101003 -0.39005495
 -0.39803824 -0.40758223  0.50289465  0.51904765  0.50908253]"
5,"[ 0.6320704  -0.00323349  1.64565049  0.82359149  0.56487609 -0.89362631
 -0.32875381  0.48996456  0.74578172  0.65447477  0.02610291 -0.09436913
 -0.17123617 -0.1820163  -0.45461969 -0.49135756  0.36753203  2.56374136
 -0.39803824 -0.40758223  0.51050824  0.55132787  0.57944414]"
6,"[-1.47828694 -0.96693243 -0.53110917 -1.33464327  1.24769067 -0.89362631
 -0.23894119 -0.58660121 -1.43735404  0.11384583 -0.1627031  -0.00296516
  0.42802301 -0.1820163  -0.48489455 -0.46440937  0.48396921  2.56374136
 -0.39803824 -0.40758223  0.51050824 -1.79682575 -1.69833918]"
7,"[ 0.42516388  0.79743334  0.42118603  0.23289463  0.12559406 -0.6059762
 -0.06608703  0.20063126  0.58157048  1.17754588  0.73816     0.18620953
  0.26371466 -0.1820163   0.51715349 -0.66314061 -0.61086256 -0.39005495
  2.51232137 -0.40758223  0.51050824  0.55435137  0.58788816]"
8,"[-0.02394508 -0.04980537 -0.66079238 -0.01736315 -0.62274711  0.26162549
  0.40447974 -0.34994074 -1.26781152 -0.0542865   0.24054292  0.63170918
  0.94318246  4.71151542  3.21713524 -0.70182342 -0.57666572 -0.38502721
 -0.39556134 -0.40758223 -1.95883224 -1.79682575 -1.70100378]"
9,"[ 5.49192965e-02  9.46402475e-02  1.06237350e+00  1.07474167e+00
  1.09222009e-01  1.54282159e-02  6.44773107e+00  1.18557059e+01
  7.46815022e-01  9.73641418e-02  5.35873949e+00  7.14816107e+00
  2.74736062e+00 -1.42126812e-01 -3.30857538e-01  1.49040286e-01
  1.64604643e-01 -6.07118039e-02 -3.29757130e-02  1.14275009e-03
  4.50280425e-01  4.99137895e-01  5.24086297e-01]"
10,"[-0.23897127 -0.26605789 -0.20155847 -1.44712156  3.63822487  0.03474122
 -0.37004538 -0.49318609 -1.76901283  0.59406137 -0.02820523 -0.10041451
  1.24308085  4.42614813 -0.57832514  0.68739132  5.44740294 -0.38767285
 -0.39334411 -0.40527491 -1.95883224 -1.79682575 -1.70100378]"
11,"[ 0.31644689  0.9118515   0.03823249  0.19759649 -0.15094902  0.32839486
  0.21722724  0.10249318  0.680195   -0.01306707  0.15051394  0.5167824
 -0.09146958 -0.1820163  -0.57669777  1.02090049  0.63671266 -0.39005495
 -0.39803824 -0.40758223  0.51050824  0.55653699  0.58788816]"
12,"[ 0.84363968 -0.12762502 -1.20528017 -0.44448289 -1.15664112 -1.18127642
 -0.99256964 -0.99858645  0.57922473 -0.99937346 -0.8036705  -0.80371757
 -0.62086096 -0.1820163  -0.73312822 -0.7724533  -0.84702054 -0.39005495
 -0.39803824 -0.40758223  0.51050824  0.55653699  0.58788816]"
13,"[ 0.56148082  0.58736548  0.26160038  0.03292903  0.12432645 -0.89362631
 -0.2123124  -0.08149067  0.51033618  1.10284324  0.44672476  0.02228768
  0.11371284 -0.1810773   0.52372001 -0.72040003 -0.62199557  2.56374136
 -0.39803824 -0.40758223  0.50888794  0.55550752  0.58788816]"
14,"[ 0.79838047 -0.73119174  0.82308191  1.38742336 -0.15392543  1.21676464
 -0.16091878  0.3192849   0.77199159 -1.00833964 -0.80570116 -0.80652903
 -0.6220297  -0.18176577 -0.07432643  0.07266991 -0.40669406 -0.39005495
 -0.39803824 -0.40758223  0.51007593  0.55200495  0.58708673]"
15,"[-0.13810951 -0.17697922  1.87536911 -0.12736786  1.9053949  -0.89112863
  0.36529586  2.27005058  0.34847019  2.93948656  3.23490877  0.64849441
  1.94142983 -0.18098082 -0.38968776 -0.50106271  0.31371636  2.53809334
  2.50179185 -0.40758223  0.50872145  0.55313125 -0.22200197]"
16,"[ 0.22614696  0.47611805 -0.67303089 -1.6090066   3.70649033 -1.17741671
 -0.99081584 -0.50059342 -2.07784787 -0.01045939  0.05245434  0.37948738
  2.53778499 -1.61305158 -0.73312822 -0.7724533  -0.84702054 -0.38901194
 -0.39803824 -0.40657197 -1.95883224 -1.79682575 -1.70100378]"
17,"[-1.52755302 -1.27318014 -1.20993805 -1.77379016 -1.16332641 -1.18102366
 -0.99211169 -0.99954535 -2.5459996  -1.00803084 -0.8053192  -0.80608211
 -0.62217449 -1.61305158 -0.73312822 -0.7724533  -0.84702054 -0.38914652
 -0.39727105 -0.40733083 -1.95883224 -1.79682575 -1.70100378]"
